prompt_key,cell_id,model,taxonomic_level,familiarity,dispute_block,genus,family,order,ioc_count,authority_min,authority_max,authority_spread,ioc_genus,ioc_family,ioc_order,p10,p50,p90,interval_width,relative_interval_width,covers_authority_span,ioc_in_interval,confidence,crps,crps_relative,mean_pinball_loss,median_abs_error,median_abs_error_relative,signed_error_relative,latency_ms
family_strigidae,bubo_strigidae,claude-haiku-4-5,family,,disputed,Bubo,Strigidae,Strigiformes,236.0,196,236,40,12,236,256,190.0,220.0,250.0,60.0,0.2542372881355932,True,True,0.72,4.666666666666667,0.01977401129943503,4.666666666666667,16.0,0.06779661016949153,-0.06779661016949153,2100.620699930005
family_trochilidae,archilochus_trochilidae,claude-haiku-4-5,family,,disputed,Archilochus,Trochilidae,Apodiformes,366.0,335,366,31,2,366,478,320.0,360.0,400.0,80.0,0.2185792349726776,True,True,0.75,3.6666666666666665,0.010018214936247723,3.6666666666666665,6.0,0.01639344262295082,-0.01639344262295082,1897.9557999409735
accipiter_accipitridae_genus,accipiter_accipitridae,claude-haiku-4-5,genus,well_known,disputed,Accipiter,Accipitridae,Accipitriformes,9.0,6,9,3,9,254,263,45.0,52.0,60.0,15.0,1.6666666666666667,False,False,0.72,19.666666666666668,2.185185185185185,19.666666666666668,43.0,4.777777777777778,4.777777777777778,2047.485199989751
amazona_psittacidae_genus,amazona_psittacidae,claude-haiku-4-5,genus,well_known,disputed,Amazona,Psittacidae,Psittaciformes,32.0,30,32,2,32,181,409,28.0,32.0,36.0,8.0,0.25,True,True,0.72,0.26666666666666666,0.008333333333333333,0.26666666666666666,0.0,0.0,0.0,2124.8017998877913
anas_anatidae_genus,anas_anatidae,claude-haiku-4-5,genus,well_known,disputed,Anas,Anatidae,Anseriformes,32.0,26,32,6,32,174,178,10.0,13.0,16.0,6.0,0.1875,False,False,0.72,8.700000000000001,0.27187500000000003,8.700000000000001,19.0,0.59375,-0.59375,2222.6353000150993
archilochus_trochilidae_genus,archilochus_trochilidae,claude-haiku-4-5,genus,well_known,undisputed,Archilochus,Trochilidae,Apodiformes,2.0,2,2,0,2,366,478,2.0,3.0,4.0,2.0,1.0,True,True,0.75,0.2333333333333333,0.11666666666666665,0.2333333333333333,1.0,0.5,0.5,1946.1896000429988
bolborhynchus_psittacidae_genus,bolborhynchus_psittacidae,claude-haiku-4-5,genus,obscure,undisputed,Bolborhynchus,Psittacidae,Psittaciformes,3.0,3,3,0,3,181,409,3.0,4.0,5.0,2.0,0.6666666666666666,True,True,0.72,0.2333333333333333,0.07777777777777777,0.2333333333333333,1.0,0.3333333333333333,0.3333333333333333,2095.737099996768
bubo_strigidae_genus,bubo_strigidae,claude-haiku-4-5,genus,well_known,disputed,Bubo,Strigidae,Strigiformes,12.0,7,12,5,12,236,256,8.0,11.0,14.0,6.0,0.5,False,True,0.72,0.3666666666666667,0.030555555555555558,0.3666666666666667,1.0,0.08333333333333333,-0.08333333333333333,2034.5998000120744
carpodacus_fringillidae_genus,carpodacus_fringillidae,claude-haiku-4-5,genus,obscure,disputed,Carpodacus,Fringillidae,Passeriformes,28.0,26,28,2,28,238,6758,20.0,28.0,35.0,15.0,0.5357142857142857,True,True,0.65,0.5,0.017857142857142856,0.5,0.0,0.0,0.0,7080.230000079609
chaetocercus_trochilidae_genus,chaetocercus_trochilidae,claude-haiku-4-5,genus,obscure,undisputed,Chaetocercus,Trochilidae,Apodiformes,6.0,6,6,0,6,366,478,4.0,6.0,8.0,4.0,0.6666666666666666,True,True,0.65,0.13333333333333333,0.022222222222222223,0.13333333333333333,0.0,0.0,0.0,2522.205900051631
claravis_columbidae_genus,claravis_columbidae,claude-haiku-4-5,genus,obscure,undisputed,Claravis,Columbidae,Columbiformes,1.0,1,1,0,1,352,352,3.0,4.0,5.0,2.0,2.0,False,False,0.65,1.2333333333333332,1.2333333333333332,1.2333333333333332,3.0,3.0,3.0,1973.5640999861062
columba_columbidae_genus,columba_columbidae,claude-haiku-4-5,genus,well_known,undisputed,Columba,Columbidae,Columbiformes,34.0,34,34,0,34,352,352,8.0,10.0,13.0,5.0,0.14705882352941177,False,False,0.65,11.166666666666666,0.3284313725490196,11.166666666666666,24.0,0.7058823529411765,-0.7058823529411765,4325.725400005467
corvus_corvidae_genus,corvus_corvidae,claude-haiku-4-5,genus,well_known,disputed,Corvus,Corvidae,Passeriformes,50.0,41,50,9,50,138,6758,38.0,45.0,52.0,14.0,0.28,True,True,0.72,1.3,0.026000000000000002,1.3,5.0,0.1,-0.1,2046.3978999760002
erythropitta_pittidae_genus,erythropitta_pittidae,claude-haiku-4-5,genus,obscure,disputed,Erythropitta,Pittidae,Passeriformes,13.0,5,13,8,13,46,6758,4.0,6.0,8.0,4.0,0.3076923076923077,False,False,0.55,2.966666666666667,0.22820512820512823,2.966666666666667,7.0,0.5384615384615384,-0.5384615384615384,2263.888599933125
falco_falconidae_genus,falco_falconidae,claude-haiku-4-5,genus,well_known,disputed,Falco,Falconidae,Falconiformes,39.0,38,39,1,39,65,65,35.0,40.0,45.0,10.0,0.2564102564102564,True,True,0.72,0.5,0.01282051282051282,0.5,1.0,0.02564102564102564,0.02564102564102564,2402.0142999943346
fratercula_alcidae_genus,fratercula_alcidae,claude-haiku-4-5,genus,well_known,undisputed,Fratercula,Alcidae,Charadriiformes,3.0,3,3,0,3,25,394,2.0,3.0,4.0,2.0,0.6666666666666666,True,True,0.85,0.06666666666666667,0.022222222222222223,0.06666666666666667,0.0,0.0,0.0,2070.3508000588045
fringilla_fringillidae_genus,fringilla_fringillidae,claude-haiku-4-5,genus,well_known,disputed,Fringilla,Fringillidae,Passeriformes,8.0,3,8,5,8,238,6758,3.0,4.0,5.0,2.0,0.25,False,False,0.72,1.7333333333333334,0.21666666666666667,1.7333333333333334,4.0,0.5,-0.5,1746.8225000193343
microhierax_falconidae_genus,microhierax_falconidae,claude-haiku-4-5,genus,obscure,undisputed,Microhierax,Falconidae,Falconiformes,5.0,5,5,0,5,65,65,3.0,4.0,5.0,2.0,0.4,True,True,0.72,0.2333333333333333,0.04666666666666666,0.2333333333333333,1.0,0.2,-0.2,1761.4956999896094
nucifraga_corvidae_genus,nucifraga_corvidae,claude-haiku-4-5,genus,obscure,disputed,Nucifraga,Corvidae,Passeriformes,4.0,2,4,2,4,138,6758,2.0,3.0,4.0,2.0,0.5,True,True,0.72,0.2333333333333333,0.05833333333333333,0.2333333333333333,1.0,0.25,-0.25,1991.0911999177188
pitta_pittidae_genus,pitta_pittidae,claude-haiku-4-5,genus,well_known,disputed,Pitta,Pittidae,Passeriformes,20.0,13,20,7,20,46,6758,28.0,32.0,36.0,8.0,0.4,False,False,0.72,4.933333333333333,0.24666666666666665,4.933333333333333,12.0,0.6,0.6,2186.374499928206
ramphastos_ramphastidae_genus,ramphastos_ramphastidae,claude-haiku-4-5,genus,well_known,disputed,Ramphastos,Ramphastidae,Piciformes,8.0,7,8,1,8,38,444,5.0,6.0,7.0,2.0,0.25,False,False,0.72,0.7333333333333334,0.09166666666666667,0.7333333333333334,2.0,0.25,-0.25,1845.4425999661908
sarkidiornis_anatidae_genus,sarkidiornis_anatidae,claude-haiku-4-5,genus,obscure,disputed,Sarkidiornis,Anatidae,Anseriformes,2.0,1,2,1,2,174,178,1.0,2.0,3.0,2.0,1.0,True,True,0.72,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.0,0.0,0.0,2317.689099931158
selenidera_ramphastidae_genus,selenidera_ramphastidae,claude-haiku-4-5,genus,obscure,undisputed,Selenidera,Ramphastidae,Piciformes,6.0,6,6,0,6,38,444,3.0,4.0,5.0,2.0,0.3333333333333333,False,False,0.72,0.7333333333333334,0.12222222222222223,0.7333333333333334,2.0,0.3333333333333333,-0.3333333333333333,2266.047599958256
synthliboramphus_alcidae_genus,synthliboramphus_alcidae,claude-haiku-4-5,genus,obscure,undisputed,Synthliboramphus,Alcidae,Charadriiformes,5.0,5,5,0,5,25,394,4.0,5.0,6.0,2.0,0.4,True,True,0.72,0.06666666666666667,0.013333333333333332,0.06666666666666667,0.0,0.0,0.0,2559.7268000710756
urotriorchis_accipitridae_genus,urotriorchis_accipitridae,claude-haiku-4-5,genus,obscure,undisputed,Urotriorchis,Accipitridae,Accipitriformes,1.0,1,1,0,1,254,263,1.0,1.0,2.0,1.0,1.0,True,True,0.65,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.0,0.0,0.0,2032.2828999487683
xenoglaux_strigidae_genus,xenoglaux_strigidae,claude-haiku-4-5,genus,obscure,undisputed,Xenoglaux,Strigidae,Strigiformes,1.0,1,1,0,1,236,256,1.0,1.0,2.0,1.0,1.0,True,True,0.75,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.0,0.0,0.0,1887.3747000470757
order_accipitriformes,accipiter_accipitridae,claude-haiku-4-5,order,,disputed,Accipiter,Accipitridae,Accipitriformes,263.0,250,263,13,9,254,263,220.0,250.0,280.0,60.0,0.22813688212927757,True,True,0.72,4.166666666666667,0.015842839036755388,4.166666666666667,13.0,0.049429657794676805,-0.049429657794676805,2480.5508001009002
order_anseriformes,anas_anatidae,claude-haiku-4-5,order,,disputed,Anas,Anatidae,Anseriformes,178.0,166,178,12,32,174,178,140.0,160.0,180.0,40.0,0.2247191011235955,True,True,0.72,4.333333333333333,0.02434456928838951,4.333333333333333,18.0,0.10112359550561797,-0.10112359550561797,1972.5186000578105
order_apodiformes,archilochus_trochilidae,claude-haiku-4-5,order,,disputed,Archilochus,Trochilidae,Apodiformes,478.0,432,478,46,2,366,478,430.0,470.0,510.0,80.0,0.16736401673640167,True,True,0.72,4.0,0.008368200836820083,4.0,8.0,0.016736401673640166,-0.016736401673640166,2414.8117000004277
order_charadriiformes,fratercula_alcidae,claude-haiku-4-5,order,,disputed,Fratercula,Alcidae,Charadriiformes,394.0,374,394,20,3,25,394,300.0,350.0,400.0,100.0,0.25380710659898476,True,True,0.65,10.666666666666666,0.02707275803722504,10.666666666666666,44.0,0.1116751269035533,-0.1116751269035533,1545.6663999939337
order_columbiformes,columba_columbidae,claude-haiku-4-5,order,,disputed,Columba,Columbidae,Columbiformes,352.0,316,352,36,34,352,352,300.0,350.0,400.0,100.0,0.2840909090909091,True,True,0.72,3.6666666666666665,0.010416666666666666,3.6666666666666665,2.0,0.005681818181818182,-0.005681818181818182,1767.5661999965087
order_falconiformes,falco_falconidae,claude-haiku-4-5,order,,disputed,Falco,Falconidae,Falconiformes,65.0,64,65,1,39,65,65,55.0,65.0,75.0,20.0,0.3076923076923077,True,True,0.65,0.6666666666666666,0.010256410256410256,0.6666666666666666,0.0,0.0,0.0,1742.5840999931097
order_passeriformes,corvus_corvidae,claude-haiku-4-5,order,,disputed,Corvus,Corvidae,Passeriformes,6758.0,6020,6758,738,50,138,6758,6000.0,6500.0,7200.0,1200.0,0.17756732761171945,True,True,0.72,83.0,0.012281740159810595,83.0,258.0,0.03817697543651968,-0.03817697543651968,2309.697600081563
order_piciformes,ramphastos_ramphastidae,claude-haiku-4-5,order,,disputed,Ramphastos,Ramphastidae,Piciformes,444.0,406,444,38,8,38,444,380.0,420.0,460.0,80.0,0.18018018018018017,True,True,0.72,6.666666666666667,0.015015015015015015,6.666666666666667,24.0,0.05405405405405406,-0.05405405405405406,2323.6626000143588
order_psittaciformes,amazona_psittacidae,claude-haiku-4-5,order,,disputed,Amazona,Psittacidae,Psittaciformes,409.0,379,409,30,32,181,409,350.0,400.0,450.0,100.0,0.24449877750611246,True,True,0.72,4.833333333333333,0.011817440912795435,4.833333333333333,9.0,0.022004889975550123,-0.022004889975550123,2131.203499971889
order_strigiformes,bubo_strigidae,claude-haiku-4-5,order,,disputed,Bubo,Strigidae,Strigiformes,256.0,214,256,42,12,236,256,190.0,220.0,250.0,60.0,0.234375,False,False,0.72,10.0,0.0390625,10.0,36.0,0.140625,-0.140625,1963.9700000407174
family_accipitridae,accipiter_accipitridae,claude-sonnet-4-6,family,,disputed,Accipiter,Accipitridae,Accipitriformes,254.0,241,254,13,9,254,263,230.0,255.0,275.0,45.0,0.17716535433070865,True,True,0.7,1.6666666666666667,0.006561679790026247,1.6666666666666667,1.0,0.003937007874015748,0.003937007874015748,3607.528100023046
family_alcidae,fratercula_alcidae,claude-sonnet-4-6,family,,undisputed,Fratercula,Alcidae,Charadriiformes,25.0,25,25,0,3,25,394,22.0,25.0,28.0,6.0,0.24,True,True,0.75,0.19999999999999998,0.008,0.19999999999999998,0.0,0.0,0.0,3717.1910000033677
family_anatidae,anas_anatidae,claude-sonnet-4-6,family,,disputed,Anas,Anatidae,Anseriformes,174.0,162,174,12,32,174,178,155.0,170.0,185.0,30.0,0.1724137931034483,True,True,0.7,1.6666666666666667,0.009578544061302683,1.6666666666666667,4.0,0.022988505747126436,-0.022988505747126436,3676.4885999727994
family_columbidae,columba_columbidae,claude-sonnet-4-6,family,,disputed,Columba,Columbidae,Columbiformes,352.0,316,352,36,34,352,352,330.0,350.0,380.0,50.0,0.14204545454545456,False,True,0.65,2.0,0.005681818181818182,2.0,2.0,0.005681818181818182,-0.005681818181818182,3870.180700090714
family_corvidae,corvus_corvidae,claude-sonnet-4-6,family,,disputed,Corvus,Corvidae,Passeriformes,138.0,123,138,15,50,138,6758,130.0,140.0,150.0,20.0,0.14492753623188406,False,True,0.6,1.0,0.007246376811594203,1.0,2.0,0.014492753623188406,0.014492753623188406,3670.346300001256
family_falconidae,falco_falconidae,claude-sonnet-4-6,family,,disputed,Falco,Falconidae,Falconiformes,65.0,64,65,1,39,65,65,60.0,66.0,72.0,12.0,0.18461538461538463,True,True,0.72,0.5666666666666665,0.008717948717948716,0.5666666666666665,1.0,0.015384615384615385,0.015384615384615385,3721.03470005095
family_fringillidae,fringilla_fringillidae,claude-sonnet-4-6,family,,disputed,Fringilla,Fringillidae,Passeriformes,238.0,220,238,18,8,238,6758,220.0,240.0,270.0,50.0,0.21008403361344538,True,True,0.55,1.9999999999999998,0.008403361344537815,1.9999999999999998,2.0,0.008403361344537815,0.008403361344537815,3353.770700050518
family_pittidae,pitta_pittidae,claude-sonnet-4-6,family,,disputed,Pitta,Pittidae,Passeriformes,46.0,29,46,17,20,46,6758,42.0,44.0,47.0,5.0,0.10869565217391304,False,True,0.7,0.5,0.010869565217391304,0.5,2.0,0.043478260869565216,-0.043478260869565216,3621.4858000166714
family_psittacidae,amazona_psittacidae,claude-sonnet-4-6,family,,disputed,Amazona,Psittacidae,Psittaciformes,181.0,167,181,14,32,181,409,170.0,200.0,230.0,60.0,0.3314917127071823,False,True,0.45,5.166666666666666,0.028545119705340696,5.166666666666666,19.0,0.10497237569060773,0.10497237569060773,3519.9937999714166
family_ramphastidae,ramphastos_ramphastidae,claude-sonnet-4-6,family,,disputed,Ramphastos,Ramphastidae,Piciformes,38.0,34,38,4,8,38,444,45.0,50.0,57.0,12.0,0.3157894736842105,False,False,0.7,4.733333333333333,0.12456140350877193,4.733333333333333,12.0,0.3157894736842105,0.3157894736842105,4003.7556000752375
family_strigidae,bubo_strigidae,claude-sonnet-4-6,family,,disputed,Bubo,Strigidae,Strigiformes,236.0,196,236,40,12,236,256,220.0,240.0,260.0,40.0,0.1694915254237288,False,True,0.6,2.0,0.00847457627118644,2.0,4.0,0.01694915254237288,0.01694915254237288,3760.2161000249907
family_trochilidae,archilochus_trochilidae,claude-sonnet-4-6,family,,disputed,Archilochus,Trochilidae,Apodiformes,366.0,335,366,31,2,366,478,330.0,360.0,390.0,60.0,0.16393442622950818,True,True,0.7,3.0,0.00819672131147541,3.0,6.0,0.01639344262295082,-0.01639344262295082,3609.102200018242
accipiter_accipitridae_genus,accipiter_accipitridae,claude-sonnet-4-6,genus,well_known,disputed,Accipiter,Accipitridae,Accipitriformes,9.0,6,9,3,9,254,263,40.0,50.0,60.0,20.0,2.2222222222222223,False,False,0.6,17.833333333333336,1.9814814814814818,17.833333333333336,41.0,4.555555555555555,4.555555555555555,3682.7712999656796
amazona_psittacidae_genus,amazona_psittacidae,claude-sonnet-4-6,genus,well_known,disputed,Amazona,Psittacidae,Psittaciformes,32.0,30,32,2,32,181,409,28.0,31.0,35.0,7.0,0.21875,True,True,0.72,0.39999999999999997,0.012499999999999999,0.39999999999999997,1.0,0.03125,-0.03125,8866.938300081529
anas_anatidae_genus,anas_anatidae,claude-sonnet-4-6,genus,well_known,disputed,Anas,Anatidae,Anseriformes,32.0,26,32,6,32,174,178,14.0,18.0,24.0,10.0,0.3125,False,False,0.5,5.333333333333333,0.16666666666666666,5.333333333333333,14.0,0.4375,-0.4375,4159.20080000069
archilochus_trochilidae_genus,archilochus_trochilidae,claude-sonnet-4-6,genus,well_known,undisputed,Archilochus,Trochilidae,Apodiformes,2.0,2,2,0,2,366,478,2.0,2.0,2.0,0.0,0.0,True,True,0.95,0.0,0.0,0.0,0.0,0.0,0.0,3014.3287000246346
bolborhynchus_psittacidae_genus,bolborhynchus_psittacidae,claude-sonnet-4-6,genus,obscure,undisputed,Bolborhynchus,Psittacidae,Psittaciformes,3.0,3,3,0,3,181,409,4.0,5.0,7.0,3.0,1.0,False,False,0.6,0.7666666666666666,0.25555555555555554,0.7666666666666666,2.0,0.6666666666666666,0.6666666666666666,3759.226799942553
bubo_strigidae_genus,bubo_strigidae,claude-sonnet-4-6,genus,well_known,disputed,Bubo,Strigidae,Strigiformes,12.0,7,12,5,12,236,256,18.0,20.0,23.0,5.0,0.4166666666666667,False,False,0.65,3.5,0.2916666666666667,3.5,8.0,0.6666666666666666,0.6666666666666666,4034.13929999806
carpodacus_fringillidae_genus,carpodacus_fringillidae,claude-sonnet-4-6,genus,obscure,disputed,Carpodacus,Fringillidae,Passeriformes,28.0,26,28,2,28,238,6758,20.0,27.0,35.0,15.0,0.5357142857142857,True,True,0.55,0.6666666666666666,0.023809523809523808,0.6666666666666666,1.0,0.03571428571428571,-0.03571428571428571,3951.994900009595
chaetocercus_trochilidae_genus,chaetocercus_trochilidae,claude-sonnet-4-6,genus,obscure,undisputed,Chaetocercus,Trochilidae,Apodiformes,6.0,6,6,0,6,366,478,5.0,7.0,8.0,3.0,0.5,True,True,0.7,0.26666666666666666,0.044444444444444446,0.26666666666666666,1.0,0.16666666666666666,0.16666666666666666,3878.744599991478
claravis_columbidae_genus,claravis_columbidae,claude-sonnet-4-6,genus,obscure,undisputed,Claravis,Columbidae,Columbiformes,1.0,1,1,0,1,352,352,3.0,3.0,4.0,1.0,1.0,False,False,0.75,1.0333333333333332,1.0333333333333332,1.0333333333333332,2.0,2.0,2.0,3312.575999996625
columba_columbidae_genus,columba_columbidae,claude-sonnet-4-6,genus,well_known,undisputed,Columba,Columbidae,Columbiformes,34.0,34,34,0,34,352,352,33.0,36.0,40.0,7.0,0.20588235294117646,True,True,0.65,0.5666666666666667,0.016666666666666666,0.5666666666666667,2.0,0.058823529411764705,0.058823529411764705,3418.529100017622
corvus_corvidae_genus,corvus_corvidae,claude-sonnet-4-6,genus,well_known,disputed,Corvus,Corvidae,Passeriformes,50.0,41,50,9,50,138,6758,40.0,45.0,50.0,10.0,0.2,True,True,0.7,1.1666666666666667,0.023333333333333334,1.1666666666666667,5.0,0.1,-0.1,3746.5178000275046
erythropitta_pittidae_genus,erythropitta_pittidae,claude-sonnet-4-6,genus,obscure,disputed,Erythropitta,Pittidae,Passeriformes,13.0,5,13,8,13,46,6758,9.0,11.0,13.0,4.0,0.3076923076923077,False,True,0.6,0.4666666666666666,0.035897435897435895,0.4666666666666666,2.0,0.15384615384615385,-0.15384615384615385,3846.9721999717876
falco_falconidae_genus,falco_falconidae,claude-sonnet-4-6,genus,well_known,disputed,Falco,Falconidae,Falconiformes,39.0,38,39,1,39,65,65,37.0,40.0,43.0,6.0,0.15384615384615385,True,True,0.75,0.36666666666666664,0.009401709401709401,0.36666666666666664,1.0,0.02564102564102564,0.02564102564102564,3520.2714999904856
fratercula_alcidae_genus,fratercula_alcidae,claude-sonnet-4-6,genus,well_known,undisputed,Fratercula,Alcidae,Charadriiformes,3.0,3,3,0,3,25,394,3.0,3.0,3.0,0.0,0.0,True,True,0.95,0.0,0.0,0.0,0.0,0.0,0.0,3272.8649000637233
fringilla_fringillidae_genus,fringilla_fringillidae,claude-sonnet-4-6,genus,well_known,disputed,Fringilla,Fringillidae,Passeriformes,8.0,3,8,5,8,238,6758,3.0,4.0,6.0,3.0,0.375,False,False,0.75,1.4333333333333333,0.17916666666666667,1.4333333333333333,4.0,0.5,-0.5,3390.2973000658676
microhierax_falconidae_genus,microhierax_falconidae,claude-sonnet-4-6,genus,obscure,undisputed,Microhierax,Falconidae,Falconiformes,5.0,5,5,0,5,65,65,5.0,5.0,6.0,1.0,0.2,True,True,0.9,0.033333333333333326,0.006666666666666665,0.033333333333333326,0.0,0.0,0.0,3538.703699945472
nucifraga_corvidae_genus,nucifraga_corvidae,claude-sonnet-4-6,genus,obscure,disputed,Nucifraga,Corvidae,Passeriformes,4.0,2,4,2,4,138,6758,3.0,3.0,4.0,1.0,0.25,False,True,0.8,0.19999999999999998,0.049999999999999996,0.19999999999999998,1.0,0.25,-0.25,8921.650400036015
pitta_pittidae_genus,pitta_pittidae,claude-sonnet-4-6,genus,well_known,disputed,Pitta,Pittidae,Passeriformes,20.0,13,20,7,20,46,6758,30.0,33.0,37.0,7.0,0.35,False,False,0.6,5.733333333333333,0.2866666666666667,5.733333333333333,13.0,0.65,0.65,3574.9169000191614
ramphastos_ramphastidae_genus,ramphastos_ramphastidae,claude-sonnet-4-6,genus,well_known,disputed,Ramphastos,Ramphastidae,Piciformes,8.0,7,8,1,8,38,444,9.0,10.0,12.0,3.0,0.375,False,False,0.72,0.7666666666666666,0.09583333333333333,0.7666666666666666,2.0,0.25,0.25,4049.884399981238
sarkidiornis_anatidae_genus,sarkidiornis_anatidae,claude-sonnet-4-6,genus,obscure,disputed,Sarkidiornis,Anatidae,Anseriformes,2.0,1,2,1,2,174,178,2.0,2.0,3.0,1.0,0.5,False,True,0.8,0.033333333333333326,0.016666666666666663,0.033333333333333326,0.0,0.0,0.0,3362.4659000197425
selenidera_ramphastidae_genus,selenidera_ramphastidae,claude-sonnet-4-6,genus,obscure,undisputed,Selenidera,Ramphastidae,Piciformes,6.0,6,6,0,6,38,444,6.0,7.0,8.0,2.0,0.3333333333333333,True,True,0.75,0.2333333333333333,0.03888888888888888,0.2333333333333333,1.0,0.16666666666666666,0.16666666666666666,3361.616700072773
synthliboramphus_alcidae_genus,synthliboramphus_alcidae,claude-sonnet-4-6,genus,obscure,undisputed,Synthliboramphus,Alcidae,Charadriiformes,5.0,5,5,0,5,25,394,4.0,5.0,6.0,2.0,0.4,True,True,0.75,0.06666666666666667,0.013333333333333332,0.06666666666666667,0.0,0.0,0.0,3810.3189000394195
urotriorchis_accipitridae_genus,urotriorchis_accipitridae,claude-sonnet-4-6,genus,obscure,undisputed,Urotriorchis,Accipitridae,Accipitriformes,1.0,1,1,0,1,254,263,1.0,1.0,2.0,1.0,1.0,True,True,0.85,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.0,0.0,0.0,2925.0497000757605
xenoglaux_strigidae_genus,xenoglaux_strigidae,claude-sonnet-4-6,genus,obscure,undisputed,Xenoglaux,Strigidae,Strigiformes,1.0,1,1,0,1,236,256,1.0,1.0,1.0,0.0,0.0,True,True,0.97,0.0,0.0,0.0,0.0,0.0,0.0,2438.9946999726817
order_accipitriformes,accipiter_accipitridae,claude-sonnet-4-6,order,,disputed,Accipiter,Accipitridae,Accipitriformes,263.0,250,263,13,9,254,263,225.0,255.0,285.0,60.0,0.22813688212927757,True,True,0.6,3.3333333333333335,0.01267427122940431,3.3333333333333335,8.0,0.030418250950570342,-0.030418250950570342,3412.7252999460325
order_anseriformes,anas_anatidae,claude-sonnet-4-6,order,,disputed,Anas,Anatidae,Anseriformes,178.0,166,178,12,32,174,178,155.0,170.0,185.0,30.0,0.16853932584269662,True,True,0.65,2.3333333333333335,0.013108614232209739,2.3333333333333335,8.0,0.0449438202247191,-0.0449438202247191,4134.298000019044
order_apodiformes,archilochus_trochilidae,claude-sonnet-4-6,order,,disputed,Archilochus,Trochilidae,Apodiformes,478.0,432,478,46,2,366,478,480.0,530.0,580.0,100.0,0.20920502092050208,False,False,0.6,12.666666666666666,0.026499302649930265,12.666666666666666,52.0,0.1087866108786611,0.1087866108786611,3616.1942000035197
